Anio,Periodo,No-Pensionistas,,
2020,Agosto,8873.158,,
2020,Septiembre,8861.002,,
2020,Octubre,8867.68,,
2020,Noviembre,8881.019,,
2020,Diciembre,8899.064,,
2021,Enero,8901.219,,
2021,Febrero,8897.914,,
2021,Marzo,8904.291,,
2021,Abril,8911.412,,
2021,Mayo,8920.066,,
2021,Junio,8935.875,,
2021,Julio,8947.574,,
2021,Agosto,8941.071,,
2021,Septiembre,8949.77,,
2021,Octubre,8958.584,,
2021,Noviembre,8974.596,,
2021,Diciembre,8990.513,,
2022,Enero,8995.154,,
2022,Febrero,8988.047,,
2022,Marzo,8996.829,,
2022,Abril,9001.585,,
2022,Mayo,8989.652,,
2022,Junio,9004.591,,
2022,Julio,9013.485,,
2022,Agosto,9015.379,,
2022,Septiembre,9015.737,,
2022,Octubre,9022.989,,
2022,Noviembre,9036.457,,
2022,Diciembre,9053.55,,
